epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,416.447,0.69245,1.05739,0.00577,0.87721,0.87178,0.96162,0.84848,0.68044,0.49376,0.00673,0.000195255,0.000195255,0.000195255
118,419.899,0.64661,1.13745,0.00487,0.88397,0.91527,0.96737,0.86218,0.63749,0.47702,0.00626,0.000189757,0.000189757,0.000189757
119,423.621,0.68882,1.08207,0.00519,0.83662,0.9466,0.96954,0.87866,0.56542,0.46339,0.00548,0.00018426,0.00018426,0.00018426
120,426.98,0.63495,1.04698,0.00524,0.85675,0.89642,0.97531,0.88888,0.57604,0.46757,0.00558,0.000178762,0.000178762,0.000178762
121,430.399,0.56945,0.97277,0.00448,0.86852,0.87547,0.97531,0.86836,0.60688,0.47805,0.0059,0.000173264,0.000173264,0.000173264
122,433.728,0.63347,1.11715,0.00569,0.86575,0.86172,0.97365,0.86656,0.60649,0.51125,0.00589,0.000167766,0.000167766,0.000167766
123,437.054,0.60758,1.0898,0.00489,0.8968,0.79341,0.96333,0.85953,0.56835,0.53035,0.00548,0.000162268,0.000162268,0.000162268
124,440.466,0.55315,0.94625,0.00439,0.87886,0.80686,0.96965,0.88242,0.54458,0.52093,0.00532,0.000156771,0.000156771,0.000156771
125,443.809,0.61725,1.01619,0.00467,0.87697,0.82118,0.95388,0.83803,0.63099,0.53136,0.0063,0.000151273,0.000151273,0.000151273
126,447.272,0.63979,1.04903,0.00541,0.85649,0.83631,0.96831,0.83752,0.66982,0.52831,0.0067,0.000145775,0.000145775,0.000145775
127,450.655,0.607,1.13253,0.00532,0.84965,0.87474,0.96631,0.83041,0.71369,0.52744,0.00718,0.000140277,0.000140277,0.000140277
128,453.984,0.58316,1.03908,0.00501,0.87545,0.90678,0.97107,0.84003,0.70085,0.51707,0.00702,0.000134779,0.000134779,0.000134779
129,457.412,0.65513,1.09498,0.00503,0.89846,0.90223,0.97269,0.86501,0.60322,0.49455,0.00592,0.000129282,0.000129282,0.000129282
130,461.02,0.62741,1.12245,0.00477,0.89276,0.90813,0.96237,0.87776,0.52158,0.47751,0.00502,0.000123784,0.000123784,0.000123784
131,464.324,0.64641,1.03273,0.00538,0.87777,0.85945,0.95742,0.88117,0.50149,0.48275,0.00476,0.000118286,0.000118286,0.000118286
132,467.643,0.63282,1.01321,0.00562,0.87142,0.86733,0.95406,0.86963,0.52566,0.48724,0.00497,0.000112788,0.000112788,0.000112788
133,471.054,0.5923,1.05713,0.00486,0.86292,0.87884,0.95226,0.85938,0.57304,0.48465,0.00553,0.00010729,0.00010729,0.00010729
134,474.232,0.54595,0.91286,0.00407,0.86735,0.87889,0.95445,0.85862,0.57653,0.48158,0.00558,0.000101793,0.000101793,0.000101793
135,477.575,0.62346,0.96597,0.00534,0.88991,0.86788,0.95445,0.86009,0.58524,0.48215,0.00565,9.62948e-05,9.62948e-05,9.62948e-05
136,481.838,0.43812,1.03863,0.0043,0.89522,0.87816,0.95257,0.85059,0.598,0.49348,0.00582,9.0797e-05,9.0797e-05,9.0797e-05
137,485.091,0.39015,1.00042,0.00415,0.89901,0.87334,0.95091,0.84132,0.60164,0.49242,0.00589,8.52992e-05,8.52992e-05,8.52992e-05
138,488.348,0.40384,0.90809,0.00411,0.90054,0.86831,0.95312,0.84368,0.60067,0.4818,0.00582,7.98014e-05,7.98014e-05,7.98014e-05
139,491.705,0.45575,0.96878,0.00473,0.90041,0.87687,0.95406,0.84864,0.58579,0.49219,0.00573,7.43036e-05,7.43036e-05,7.43036e-05
140,495.448,0.41492,0.92149,0.00381,0.90293,0.87926,0.96437,0.87651,0.54823,0.48852,0.00528,6.88058e-05,6.88058e-05,6.88058e-05
141,498.772,0.45005,0.99212,0.00437,0.9053,0.86692,0.96437,0.88244,0.48244,0.48851,0.00466,6.3308e-05,6.3308e-05,6.3308e-05
142,502.024,0.42922,0.91727,0.0038,0.90796,0.86937,0.96361,0.88231,0.47288,0.48304,0.00452,5.78102e-05,5.78102e-05,5.78102e-05
143,505.331,0.40796,0.99411,0.00403,0.89438,0.86915,0.96437,0.88504,0.46193,0.47522,0.00442,5.23124e-05,5.23124e-05,5.23124e-05
144,508.596,0.44294,0.98445,0.00417,0.91118,0.87022,0.96361,0.88504,0.44864,0.47416,0.00428,4.68146e-05,4.68146e-05,4.68146e-05
145,511.995,0.44644,0.92159,0.00427,0.8861,0.8788,0.96219,0.88389,0.45191,0.48047,0.00431,4.13168e-05,4.13168e-05,4.13168e-05
